Product Name,Description,Category,Origin,Packaging,Carbon (kg),Water (L),Transport Mode,Animal-Based,Imported,Eco Score
Local Body Wash,"Plastic case, roll-on type",Personal Care,Portugal,Foil,21.35,1037,Air,False,True,41
Eco Body Wash,"Biodegradable, compostable wrapper",Personal Care,Portugal,Paper,22.46,8793,Air,False,True,24
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,China,TetraPak,27.52,14230,Air,False,True,2
Imported Local Apples,"Organic, non-GMO, paper-wrapped",Food,USA,Paper,25.61,13936,Truck,False,True,17
Lotion,"Gel-based, recyclable bottle",Personal Care,USA,TetraPak,24.53,4279,Truck,False,True,38
Eco Lotion,"Biodegradable, compostable wrapper",Personal Care,India,None,29.23,2142,Ship,False,False,38
Organic Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Portugal,Plastic,5.22,10542,Ship,False,True,54
Eco Bottled Water,"Glass bottle, no additives",Beverage,India,TetraPak,6.22,14087,Ship,False,False,60
Eco Granola Bar,"Vegan, packaged in TetraPak",Food,Brazil,TetraPak,2.08,9983,Ship,False,True,72
Eco Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Plastic,15.64,1471,Truck,False,True,52
Imported Almond Milk,"Vegan, packaged in TetraPak",Food,China,Compost,18.61,8716,Air,True,True,21
Eco Body Wash,"Fragrance-free, paper tube",Personal Care,India,Compost,29.53,9877,Truck,False,False,22
Imported Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Brazil,Compost,7.74,13388,Ship,False,True,54
Organic Juice,"Glass bottle, no additives",Beverage,USA,Paper,11.12,9881,Air,False,True,44
Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,USA,None,21.01,14017,Truck,True,True,15
Imported Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Cardboard,25.81,13055,Ship,False,True,18
Organic Shampoo,"Gel-based, recyclable bottle",Personal Care,India,Cardboard,21.96,6077,Ship,False,False,45
Imported Recycled Sunglasses,"Reusable, printed cotton",Accessories,Brazil,TetraPak,9.22,18413,Truck,False,True,41
Eco Beef Steak,"Farm-grown, no packaging",Food,USA,TetraPak,7.26,5641,Air,True,True,50
Eco Organic Juice,"Glass bottle, no additives",Beverage,India,TetraPak,27.08,15096,Ship,False,False,16
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,Germany,Cardboard,9.22,2048,Truck,False,True,73
Local Lotion,"Plastic case, roll-on type",Personal Care,USA,Foil,24.96,7688,Ship,False,True,31
Local Energy Drink,"TetraPak, added vitamins",Beverage,China,Glass,11.29,7281,Truck,False,True,59
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Compost,19.69,2565,Air,False,True,41
Local Cork Bag,"Recycled material, cloth lining",Accessories,Germany,Glass,27.85,5599,Truck,False,True,29
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,Brazil,Plastic,5.82,10515,Air,False,True,43
Imported Body Wash,"Biodegradable, compostable wrapper",Personal Care,Germany,Paper,8.35,12276,Truck,False,True,55
Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Paper,21.99,8750,Air,False,True,25
Organic Lotion,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,28.78,17911,Truck,False,True,3
Organic Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Brazil,Compost,21.42,652,Truck,False,True,52
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,China,None,23.07,13381,Air,False,True,13
Imported Organic Cotton Tote,"Reusable, printed cotton",Accessories,Germany,Compost,19.1,15492,Ship,False,True,27
Imported Cork Bag,"Recycled material, cloth lining",Accessories,Germany,Glass,23.73,10400,Air,False,True,18
Local Organic Juice,"TetraPak, added vitamins",Beverage,India,Foil,10.53,13176,Ship,False,False,53
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,Portugal,Compost,3.92,19830,Air,False,True,39
Imported Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,Glass,22.75,3099,Ship,False,True,44
Local Body Wash,"Plastic case, roll-on type",Personal Care,Germany,Glass,5.26,13314,Ship,False,True,59
Lotion,"Fragrance-free, paper tube",Personal Care,China,Glass,8.72,17806,Ship,False,True,43
Imported Organic Juice,"Plastic bottle, filtered water",Beverage,Germany,Compost,9.44,17507,Truck,False,True,42
Eco Body Wash,"Biodegradable, compostable wrapper",Personal Care,Brazil,Glass,6.29,19384,Truck,False,True,45
Organic Lotion,"Gel-based, recyclable bottle",Personal Care,Brazil,TetraPak,21.72,14020,Truck,False,True,24
Local Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,USA,Foil,18.6,5694,Truck,False,True,47
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,India,Glass,22.97,16982,Ship,False,False,22
Local Shampoo,"Plastic case, roll-on type",Personal Care,Brazil,Paper,24.41,18692,Air,False,True,0
Local Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,USA,None,27.14,13806,Ship,False,True,14
Bottled Water,"Glass bottle, no additives",Beverage,Portugal,Plastic,13.28,3045,Truck,False,True,53
Organic Deodorant,"Gel-based, recyclable bottle",Personal Care,India,Plastic,13.36,13821,Truck,False,False,37
Local Cork Bag,"Plastic-free, eco-friendly frame",Accessories,India,Glass,14.25,1305,Air,False,False,60
Cork Bag,"Reusable, printed cotton",Accessories,Portugal,Glass,27.37,7508,Air,False,True,16
Organic Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,Portugal,Paper,27.38,7865,Truck,True,True,16
Local Apples,"Plastic-wrapped, imported, grass-fed",Food,USA,None,18.97,8326,Truck,False,True,42
Eco Organic Cotton Tote,"Reusable, printed cotton",Accessories,Brazil,Cardboard,26.11,2444,Ship,False,True,39
Eco Bottled Water,"TetraPak, added vitamins",Beverage,Brazil,TetraPak,12.68,2965,Air,False,True,55
Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Portugal,Glass,1.77,14582,Truck,False,True,63
Local Energy Drink,"Aluminum can, roasted beans",Beverage,India,Paper,6.74,2542,Ship,False,False,82
Local Body Wash,"Plastic case, roll-on type",Personal Care,China,Plastic,28.91,6378,Air,False,True,6
Organic Granola Bar,"Fresh, dairy-based, paper-packed",Food,Portugal,None,12.4,6474,Ship,False,True,59
Deodorant,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,25.18,9833,Air,False,True,16
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Paper,14.91,2839,Air,False,False,56
Organic Almond Milk,"Organic, non-GMO, paper-wrapped",Food,India,Paper,14.02,6404,Air,True,False,40
Imported Cork Bag,"Made of cork, shipped from Europe",Accessories,USA,Glass,20.34,2685,Air,False,True,40
Organic Organic Juice,"Plastic bottle, filtered water",Beverage,Portugal,Compost,5.22,19038,Ship,False,True,47
Eco Bottled Water,"Plastic bottle, filtered water",Beverage,Brazil,Plastic,28.37,7895,Ship,False,True,14
Organic Organic Juice,"Glass bottle, no additives",Beverage,India,Glass,23.79,3184,Ship,False,False,47
Organic Shampoo,"Fragrance-free, paper tube",Personal Care,USA,TetraPak,29.46,12448,Air,False,True,3
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Cardboard,21.68,18616,Air,False,False,10
Local Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Brazil,Foil,15.43,16510,Ship,False,True,32
Eco Tofu,"Farm-grown, no packaging",Food,Germany,Compost,4.7,19038,Truck,False,True,48
Deodorant,"Gel-based, recyclable bottle",Personal Care,Portugal,Paper,29.9,7604,Truck,False,True,21
Imported Lotion,"Gel-based, recyclable bottle",Personal Care,Brazil,Cardboard,18.12,3725,Ship,False,True,52
Imported Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Paper,21.39,18470,Air,False,True,7
Eco Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Portugal,None,23.33,14299,Ship,False,True,21
Organic Juice,"TetraPak, added vitamins",Beverage,Germany,Plastic,26.47,5477,Truck,False,True,23
Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Brazil,None,20.26,18339,Air,False,True,9
Local Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,USA,TetraPak,13.29,13534,Ship,False,True,42
Imported Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,Paper,29.81,12513,Truck,False,True,11
Organic Bottled Water,"Glass bottle, no additives",Beverage,India,TetraPak,16.95,5590,Ship,False,False,56
Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,China,TetraPak,2.13,6988,Ship,False,True,78
Organic Cork Bag,"Reusable, printed cotton",Accessories,Portugal,TetraPak,6.84,16586,Truck,False,True,49
Eco Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Germany,Cardboard,4.11,12975,Air,False,True,52
Local Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,None,0.4,9233,Air,False,True,67
Energy Drink,"Aluminum can, roasted beans",Beverage,Portugal,Glass,10.95,6452,Truck,False,True,62
Organic Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Germany,Paper,24.99,7472,Truck,False,True,32
Organic Beef Steak,"Vegan, packaged in TetraPak",Food,Brazil,Cardboard,14.0,1786,Ship,True,True,54
Eco Tofu,"Vegan, packaged in TetraPak",Food,Brazil,TetraPak,29.56,16386,Truck,False,True,4
Tofu,"Mixed nuts, oats, wrapped in foil",Food,India,Glass,14.52,4452,Ship,False,False,63
Local Local Apples,"Vegan, packaged in TetraPak",Food,India,Cardboard,15.61,15585,Ship,False,False,38
Eco Organic Juice,"Glass bottle, no additives",Beverage,Germany,None,10.94,3011,Ship,False,True,68
Organic Juice,"TetraPak, added vitamins",Beverage,USA,Cardboard,17.43,3852,Air,False,True,44
Imported Bottled Water,"TetraPak, added vitamins",Beverage,India,Compost,26.31,17690,Air,False,False,3
Organic Tofu,"Fresh, dairy-based, paper-packed",Food,Germany,None,26.37,224,Ship,False,True,43
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Germany,TetraPak,16.45,18976,Air,False,True,16
Local Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Portugal,TetraPak,28.19,6665,Truck,False,True,26
Cold Brew Coffee,"TetraPak, added vitamins",Beverage,Germany,Foil,7.22,19259,Truck,False,True,43
Beef Steak,"Farm-grown, no packaging",Food,USA,Compost,14.13,5996,Air,True,True,36
Imported Cold Brew Coffee,"TetraPak, added vitamins",Beverage,USA,Plastic,5.43,3786,Truck,False,True,68
Eco Organic Juice,"Glass bottle, no additives",Beverage,USA,Compost,29.36,12264,Truck,False,True,13
Deodorant,"Gel-based, recyclable bottle",Personal Care,India,Foil,29.31,2901,Ship,False,False,37
Local Deodorant,"Gel-based, recyclable bottle",Personal Care,China,None,28.01,18770,Ship,False,True,2
Shampoo,"Gel-based, recyclable bottle",Personal Care,Germany,Cardboard,11.89,1544,Air,False,True,59
Lotion,"Plastic case, roll-on type",Personal Care,USA,Paper,19.67,10659,Truck,False,True,35
Eco Organic Juice,"Aluminum can, roasted beans",Beverage,USA,Glass,12.48,10353,Air,False,True,41
Local Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Paper,17.17,7579,Truck,False,True,46
Organic Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Germany,TetraPak,26.84,15880,Ship,True,True,1
Eco Chicken Nuggets,"Mixed nuts, oats, wrapped in foil",Food,USA,Paper,9.14,16977,Ship,True,True,34
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,None,15.61,12908,Ship,False,True,39
Organic Energy Drink,"Aluminum can, roasted beans",Beverage,India,None,23.43,1981,Truck,False,False,51
Beef Steak,"Frozen, plastic wrap, processed",Food,China,Plastic,6.52,9791,Ship,True,True,43
Eco Local Apples,"Frozen, plastic wrap, processed",Food,China,Plastic,22.23,13634,Ship,False,True,14
Eco Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,Portugal,Plastic,29.16,1348,Truck,True,True,15
Eco Granola Bar,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Compost,8.69,1474,Ship,False,True,76
Imported Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,India,Foil,13.24,12390,Ship,False,False,50
Imported Chicken Nuggets,"Farm-grown, no packaging",Food,Brazil,Plastic,0.75,10931,Ship,True,True,53
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,India,Foil,12.35,7390,Truck,False,False,62
Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Germany,Compost,23.74,17652,Air,False,True,3
Energy Drink,"Plastic bottle, filtered water",Beverage,USA,Glass,21.11,18106,Air,False,True,7
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,USA,Cardboard,15.46,14630,Ship,False,True,36
Imported Energy Drink,"TetraPak, added vitamins",Beverage,Portugal,Cardboard,23.27,8520,Truck,False,True,32
Local Cold Brew Coffee,"Glass bottle, no additives",Beverage,USA,Plastic,24.6,3672,Air,False,True,19
Eco Paneer,"Plastic-wrapped, imported, grass-fed",Food,Brazil,Foil,5.72,15625,Ship,True,True,43
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,India,Cardboard,23.92,16204,Ship,False,False,21
Imported Body Wash,"Fragrance-free, paper tube",Personal Care,USA,Glass,0.49,2830,Air,False,True,80
Organic Organic Juice,"TetraPak, added vitamins",Beverage,China,Cardboard,2.33,14462,Truck,False,True,63
Imported Organic Juice,"Plastic bottle, filtered water",Beverage,India,TetraPak,29.45,6369,Air,False,False,20
Eco Organic Juice,"Aluminum can, roasted beans",Beverage,Brazil,Compost,27.5,1562,Air,False,True,27
Eco Energy Drink,"Aluminum can, roasted beans",Beverage,China,Plastic,23.05,7126,Ship,False,True,25
Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,China,TetraPak,9.52,11403,Ship,False,True,54
Local Local Apples,"Vegan, packaged in TetraPak",Food,India,Compost,15.88,3800,Air,False,False,52
Eco Almond Milk,"Vegan, packaged in TetraPak",Food,Brazil,Glass,27.69,4368,Truck,True,True,22
Local Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,USA,Paper,1.81,7351,Air,False,True,68
Organic Organic Juice,"Plastic bottle, filtered water",Beverage,Portugal,None,18.95,7036,Truck,False,True,44
Local Body Wash,"Gel-based, recyclable bottle",Personal Care,China,TetraPak,6.13,10712,Air,False,True,52
Bottled Water,"Glass bottle, no additives",Beverage,India,Foil,20.19,13521,Truck,False,False,33
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Portugal,Cardboard,14.72,10871,Ship,False,True,45
Eco Beef Steak,"Organic, non-GMO, paper-wrapped",Food,China,None,11.2,10825,Ship,True,True,42
Organic Cork Bag,"Recycled material, cloth lining",Accessories,Portugal,Glass,14.53,10025,Truck,False,True,46
Imported Bottled Water,"Aluminum can, roasted beans",Beverage,India,Cardboard,28.39,13227,Ship,False,False,18
Imported Granola Bar,"Vegan, packaged in TetraPak",Food,India,Paper,4.92,6006,Air,False,False,69
Organic Bottled Water,"TetraPak, added vitamins",Beverage,Germany,Foil,6.81,17635,Truck,False,True,47
Local Tofu,"Frozen, plastic wrap, processed",Food,India,Cardboard,3.14,9744,Truck,False,False,75
Cork Bag,"Made of cork, shipped from Europe",Accessories,USA,Compost,10.69,11156,Ship,False,True,52
Eco Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Germany,Plastic,18.76,11590,Air,False,True,15
Organic Tofu,"Organic, non-GMO, paper-wrapped",Food,Brazil,Plastic,6.09,18938,Truck,False,True,36
Eco Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Brazil,Plastic,9.22,14806,Ship,False,True,38
Organic Body Wash,"Gel-based, recyclable bottle",Personal Care,Brazil,Glass,4.37,10088,Truck,False,True,67
Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Glass,19.08,9748,Truck,False,True,38
Eco Almond Milk,"Organic, non-GMO, paper-wrapped",Food,China,TetraPak,11.25,17438,Air,True,True,19
Imported Bottled Water,"TetraPak, added vitamins",Beverage,USA,Compost,27.31,6597,Air,False,True,18
Organic Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,Germany,Foil,10.17,17689,Ship,False,True,40
Imported Organic Juice,"Glass bottle, no additives",Beverage,China,Plastic,9.74,18853,Air,False,True,19
Imported Local Apples,"Organic, non-GMO, paper-wrapped",Food,Germany,Glass,10.05,13992,Ship,False,True,48
Local Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,USA,Foil,20.35,12238,Truck,False,True,31
Eco Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Germany,Foil,4.12,9939,Air,False,True,58
Local Lotion,"Plastic case, roll-on type",Personal Care,China,Paper,25.13,16211,Air,False,True,3
Local Deodorant,"Plastic case, roll-on type",Personal Care,Portugal,Foil,22.16,14260,Air,False,True,13
Local Shampoo,"Plastic case, roll-on type",Personal Care,Brazil,Compost,3.67,13948,Air,False,True,51
Imported Cork Bag,"Plastic-free, eco-friendly frame",Accessories,China,TetraPak,15.18,12876,Ship,False,True,40
Organic Deodorant,"Biodegradable, compostable wrapper",Personal Care,USA,Glass,7.98,1860,Truck,False,True,77
Organic Tofu,"Organic, non-GMO, paper-wrapped",Food,USA,TetraPak,23.73,6545,Air,False,True,25
Eco Organic Juice,"Aluminum can, roasted beans",Beverage,USA,None,29.3,6984,Truck,False,True,24
Organic Body Wash,"Plastic case, roll-on type",Personal Care,India,Compost,16.09,18998,Truck,False,False,31
Eco Organic Juice,"Aluminum can, roasted beans",Beverage,India,Glass,18.48,10654,Truck,False,False,43
Organic Recycled Sunglasses,"Recycled material, cloth lining",Accessories,China,Paper,0.65,18466,Truck,False,True,58
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Compost,27.91,14045,Air,False,False,7
Recycled Sunglasses,"Recycled material, cloth lining",Accessories,India,Cardboard,18.22,9724,Truck,False,False,45
Local Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,Brazil,Compost,22.92,5021,Truck,True,True,30
Imported Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Portugal,None,26.72,17232,Ship,False,True,8
Local Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Germany,Plastic,17.03,8182,Ship,False,True,35
Organic Deodorant,"Biodegradable, compostable wrapper",Personal Care,China,Plastic,19.25,12562,Truck,False,True,22
Eco Bottled Water,"Aluminum can, roasted beans",Beverage,Germany,None,21.79,4310,Ship,False,True,44
Organic Organic Cotton Tote,"Reusable, printed cotton",Accessories,Germany,Cardboard,0.37,1140,Ship,False,True,93
Organic Energy Drink,"Glass bottle, no additives",Beverage,Portugal,Compost,14.4,440,Truck,False,True,67
Organic Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,India,Glass,21.22,4531,Air,False,False,39
Eco Paneer,"Fresh, dairy-based, paper-packed",Food,Brazil,TetraPak,27.73,2332,Air,True,True,16
Local Bottled Water,"Plastic bottle, filtered water",Beverage,USA,Cardboard,13.47,4700,Ship,False,True,60
Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,India,Foil,26.71,18389,Ship,False,False,11
Organic Almond Milk,"Vegan, packaged in TetraPak",Food,Germany,Foil,2.48,12391,Ship,True,True,57
Beef Steak,"Vegan, packaged in TetraPak",Food,China,Plastic,22.44,12249,Ship,True,True,7
Organic Paneer,"Mixed nuts, oats, wrapped in foil",Food,China,TetraPak,25.98,8451,Truck,True,True,18
Local Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,Brazil,Cardboard,22.87,6231,Truck,False,True,38
Local Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Portugal,Plastic,4.27,15103,Truck,False,True,47
Paneer,"Fresh, dairy-based, paper-packed",Food,China,Compost,8.34,12031,Ship,True,True,45
Eco Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,USA,Compost,9.2,8643,Ship,True,True,50
Eco Lotion,"Fragrance-free, paper tube",Personal Care,India,Paper,10.22,5507,Truck,False,False,69
Almond Milk,"Fresh, dairy-based, paper-packed",Food,India,TetraPak,27.95,13568,Air,True,False,0
Imported Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Brazil,Glass,21.39,6886,Truck,False,True,40
Eco Bottled Water,"Aluminum can, roasted beans",Beverage,Germany,TetraPak,23.84,18497,Air,False,True,2
Eco Lotion,"Biodegradable, compostable wrapper",Personal Care,Brazil,Plastic,5.78,905,Ship,False,True,73
Local Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Cardboard,17.29,17189,Ship,False,True,27
Imported Organic Cotton Tote,"Reusable, printed cotton",Accessories,Portugal,Glass,19.32,11069,Truck,False,True,35
Organic Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,Portugal,Compost,3.34,7050,Truck,False,True,75
Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,Brazil,Plastic,17.61,2565,Air,False,True,35
Local Cork Bag,"Reusable, printed cotton",Accessories,Germany,Compost,20.54,13606,Ship,False,True,27
Body Wash,"Biodegradable, compostable wrapper",Personal Care,Portugal,Cardboard,10.64,1230,Air,False,True,62
Local Lotion,"Biodegradable, compostable wrapper",Personal Care,China,Paper,15.64,12106,Ship,False,True,40
Organic Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,Portugal,Glass,4.33,9082,Air,False,True,59
Organic Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,USA,Plastic,28.12,16977,Air,False,True,0
Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Brazil,TetraPak,10.02,16796,Ship,False,True,42
Eco Organic Cotton Tote,"Reusable, printed cotton",Accessories,Germany,TetraPak,4.26,7735,Truck,False,True,72
Shampoo,"Gel-based, recyclable bottle",Personal Care,China,Paper,10.28,10227,Truck,False,True,55
Eco Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Foil,14.28,730,Truck,False,True,66
Imported Paneer,"Farm-grown, no packaging",Food,India,Foil,26.38,8513,Air,True,False,11
Organic Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,India,Plastic,14.14,10432,Truck,False,False,42
Organic Shampoo,"Biodegradable, compostable wrapper",Personal Care,USA,Foil,12.97,4091,Truck,False,True,62
Organic Juice,"Glass bottle, no additives",Beverage,Portugal,Foil,16.81,11730,Air,False,True,29
Bottled Water,"TetraPak, added vitamins",Beverage,Germany,Plastic,22.97,13047,Air,False,True,4
Organic Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,USA,Paper,20.08,2793,Truck,False,True,50
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,Paper,15.54,1260,Truck,False,True,62
Eco Energy Drink,"Aluminum can, roasted beans",Beverage,Brazil,Compost,8.65,9489,Ship,False,True,60
Eco Bottled Water,"TetraPak, added vitamins",Beverage,China,Foil,9.46,17159,Ship,False,True,43
Imported Organic Cotton Tote,"Recycled material, cloth lining",Accessories,Portugal,Glass,21.73,3395,Ship,False,True,46
Energy Drink,"Glass bottle, no additives",Beverage,Brazil,Plastic,7.77,19527,Ship,False,True,31
Eco Cold Brew Coffee,"TetraPak, added vitamins",Beverage,Germany,TetraPak,13.01,6359,Ship,False,True,57
Recycled Sunglasses,"Reusable, printed cotton",Accessories,Portugal,Compost,28.84,17882,Truck,False,True,3
Organic Cork Bag,"Recycled material, cloth lining",Accessories,China,Cardboard,19.47,3656,Ship,False,True,50
Eco Local Apples,"Mixed nuts, oats, wrapped in foil",Food,Brazil,None,2.98,17572,Ship,False,True,55
Local Cork Bag,"Recycled material, cloth lining",Accessories,China,Paper,11.4,12811,Truck,False,True,48
Local Body Wash,"Biodegradable, compostable wrapper",Personal Care,Germany,Glass,28.69,8361,Ship,False,True,22
Eco Bottled Water,"Aluminum can, roasted beans",Beverage,USA,Plastic,18.33,10766,Truck,False,True,28
Imported Recycled Sunglasses,"Reusable, printed cotton",Accessories,India,Compost,14.94,11562,Ship,False,False,48
Eco Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,Foil,18.09,19706,Truck,False,True,20
Organic Body Wash,"Plastic case, roll-on type",Personal Care,Germany,Paper,27.21,12806,Air,False,True,6
Energy Drink,"Aluminum can, roasted beans",Beverage,Portugal,TetraPak,1.54,3687,Air,False,True,75
Organic Paneer,"Organic, non-GMO, paper-wrapped",Food,Germany,Plastic,10.91,18180,Ship,True,True,18
Imported Paneer,"Farm-grown, no packaging",Food,India,Compost,27.41,6340,Ship,True,False,24
Imported Granola Bar,"Organic, non-GMO, paper-wrapped",Food,Brazil,Paper,17.92,13267,Air,False,True,24
Organic Almond Milk,"Frozen, plastic wrap, processed",Food,Portugal,Cardboard,22.16,17228,Truck,True,True,7
Eco Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,USA,Cardboard,10.64,9820,Truck,True,True,45
Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,14.24,15696,Air,False,True,26
Organic Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,India,TetraPak,6.98,19394,Air,False,False,39
Eco Organic Cotton Tote,"Recycled material, cloth lining",Accessories,USA,Paper,13.23,19224,Ship,False,True,31
Imported Body Wash,"Plastic case, roll-on type",Personal Care,Germany,TetraPak,7.87,18640,Air,False,True,33
Organic Cotton Tote,"Recycled material, cloth lining",Accessories,China,None,15.0,6753,Air,False,True,42
Local Shampoo,"Gel-based, recyclable bottle",Personal Care,Brazil,Plastic,23.49,12973,Truck,False,True,14
Organic Juice,"Plastic bottle, filtered water",Beverage,Portugal,Paper,13.27,19308,Ship,False,True,31
Eco Body Wash,"Plastic case, roll-on type",Personal Care,China,Glass,0.72,17859,Ship,False,True,59
Tofu,"Fresh, dairy-based, paper-packed",Food,Germany,Cardboard,1.53,2583,Air,False,True,77
Eco Body Wash,"Biodegradable, compostable wrapper",Personal Care,China,Glass,18.07,17226,Ship,False,True,25
Lotion,"Plastic case, roll-on type",Personal Care,Portugal,Cardboard,4.78,11245,Truck,False,True,64
Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,India,Compost,3.13,15384,Ship,False,False,64
Eco Paneer,"Mixed nuts, oats, wrapped in foil",Food,Portugal,None,28.61,19992,Ship,True,True,0
Imported Tofu,"Fresh, dairy-based, paper-packed",Food,Germany,Cardboard,8.71,1293,Air,False,True,66
Local Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Glass,4.65,3719,Air,False,False,74
Imported Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Germany,TetraPak,3.77,14354,Truck,False,True,60
Imported Local Apples,"Organic, non-GMO, paper-wrapped",Food,Brazil,Glass,17.01,14268,Ship,False,True,33
Imported Local Apples,"Frozen, plastic wrap, processed",Food,USA,Plastic,24.41,1674,Truck,False,True,34
Organic Energy Drink,"Plastic bottle, filtered water",Beverage,India,Foil,26.33,10606,Ship,False,False,27
Organic Beef Steak,"Fresh, dairy-based, paper-packed",Food,Brazil,Paper,23.52,5927,Air,True,True,17
Eco Shampoo,"Gel-based, recyclable bottle",Personal Care,Brazil,None,16.95,12503,Air,False,True,27
Shampoo,"Biodegradable, compostable wrapper",Personal Care,India,Paper,15.24,5650,Truck,False,False,59
Imported Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,None,9.79,5815,Truck,False,True,65
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,None,3.28,18786,Ship,False,True,52
Local Beef Steak,"Frozen, plastic wrap, processed",Food,Portugal,Paper,2.9,9650,Ship,True,True,61
Eco Beef Steak,"Vegan, packaged in TetraPak",Food,China,Plastic,7.9,4476,Truck,True,True,52
Imported Tofu,"Organic, non-GMO, paper-wrapped",Food,India,Paper,9.67,3634,Air,False,False,64
